Substrate Temperature,In Temperature,N2 Pressure,RF,Crystal
400,740,0.00001,350,1
550,740,0.00001,350,1
550,740,0.00002,350,1
550,800,0.00001,350,1
550,750,0.00001,350,1
550,740,0.00003,350,1
550,740,0.000015,350,1
550,740,0.00001,350,1
550,740,0.00001,350,1
550,740,0.00002,350,1
550,740,0.00001,350,1
450,740,0.00001,350,1
350,740,0.00001,350,1
450,750,0.00001,350,1
550,740,0.00001,350,1
450,750,0.00001,350,1
550,740,0.00001,250,1
200,800,0.00001,250,1
450,740,0.00001,250,1
450,740,0.00001,250,1
550,740,0.00001,250,1
450,731.5,0.00001,250,1
500,740,0.00001,250,1
550,740,0.00001,250,1
550,740,0.00001,250,1
550,780,0.00001,250,1
480,780,0.00001,250,1
450,760,0.00001,250,1
550,780,0.000015,350,1
550,740,0.00001,350,1
550,780,0.00001,350,1
550,800,0.00001,350,1
550,760,0.00001,250,1
450,780,0.00001,350,1
550,780,0.00001,350,1
550,780,0.00001,350,1
550,780,0.00001,350,1
450,780,0.00001,350,1
350,780,0.00001,350,1
300,780,0.00001,250,1
550,780,0.00001,250,1
400,780,0.00001,250,1
450,780,0.00001,250,1
450,780,0.00001,250,1
400,780,0.00001,250,1
400,800,0.00001,250,1
550,780,0.00001,350,1
400,780,0.00001,350,1
400,780,0.00001,350,1
400,780,0.00001,350,1
450,780,0.00001,250,1
400,780,0.00001,350,1
400,780,0.00001,350,1
400,780,0.00001,250,1
400,780,0.00001,250,1
400,780,0.00001,250,1
400,780,0.00001,250,1
400,780,0.00001,250,1
450,780,0.00001,250,1
450,780,0.00001,350,1
450,780,0.00001,150,1
450,780,0.00002,150,1
550,780,0.00001,150,1
450,780,0.00001,110,1
450,800,0.00001,110,1
450,760,0.00001,150,1
400,780,0.00001,150,1
450,780,0.000005,150,1
450,780,0.00001,150,1
500,780,0.00001,150,1
550,780,0.00001,150,1
550,780,0.00001,150,1
550,790,0.00001,150,1
500,800,0.00001,150,1
550,780,0.00001,150,1
520,780,0.00001,150,1
520,780,0.00001,150,1
480,780,0.00001,150,1
480,780,0.00001,150,1
450,745,0.00001,150,1
300,780,0.00001,350,1
400,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
500,780,0.00001,150,1
500,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
700,780,0.00001,150,1
350,780,0.00001,150,1
450,820,0.00001,350,1
450,820,0.00001,350,1
800,790,0.00001,150,1
800,790,0.00001,150,1
800,790,0.00001,150,1
800,790,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
450,780,0.00001,150,1
400,740,0.00001,350,0
200,740,0.00001,350,0
550,760,0.00001,350,0
600,727,0.00002,350,0
600,740,0.00002,350,0
600,745,0.00002,350,0
550,740,0.00002,350,0
550,760,0.00001,350,0
300,735,0.00001,350,0
300,740,0.00001,350,0
550,740,0.00002,350,0
550,740,0.00001,350,0
400,740,0.00001,250,0
550,740,0.00001,250,0
550,740,0.00001,250,0
550,740,0.00001,250,0
400,745,0.00002,250,0
450,745,0.00002,250,0
500,745,0.00002,250,0
450,745,0.00002,250,0
450,745,0.00001,250,0
450,790,0.00002,250,0
450,797,0.00002,250,0
550,760,0.00001,350,0
450,780,0.00002,250,0
450,760,0.00002,250,0
450,770,0.00002,250,0
550,820,0.00001,350,0
450,800,0.00001,250,0
500,780,0.00001,350,0
550,780,0.00001,350,0
450,735,0.00002,250,0
450,735,0.00002,250,0
200,780,0.00001,250,0
450,705,0.00002,250,0
450,780,0.00002,250,0
450,780,0.00002,250,0
450,780,0.00002,250,0
450,780,0.00001,250,0
490,760,0.00002,250,0
450,780,0.00001,150,0
450,700,0.00001,150,0
450,700,0.00001,150,0
500,740,0.00001,150,0
500,740,0.00001,150,0
450,745,0.00001,150,0
450,745,0.00001,150,0
300,740,0.000015,100,0
500,780,0.00001,150,0
550,780,0.00002,250,0
550,780,0.00002,250,0
300,780,0.00001,350,0
450,780,0.00001,150,0
